age,marathoner_type,vaporfly,race_time,male
31,enthusiastic,0,14342.169,0
37,enthusiastic,1,12526.771,0
33,enthusiastic,0,13211.95,1
28,enthusiastic,0,15310.617,0
33,enthusiastic,0,15799.646,0
43,enthusiastic,1,11332.437,1
40,enthusiastic,1,13504.094,0
30,enthusiastic,1,14847.058,0
28,enthusiastic,1,14198.718,0
26,enthusiastic,0,17811.246,0
39,enthusiastic,0,12183.778,1
30,enthusiastic,1,15019.796,0
30,enthusiastic,0,12410.378,1
28,enthusiastic,0,13458.639,0
32,enthusiastic,1,13220.999,1
28,enthusiastic,0,14724.491,1
34,enthusiastic,0,17293.311,0
38,enthusiastic,1,15124.947,0
28,enthusiastic,1,13487.202,0
35,enthusiastic,1,16475.211,0
31,enthusiastic,0,15804.507,0
33,enthusiastic,1,12795.879,1
42,enthusiastic,0,11805.525,1
45,enthusiastic,1,14630.93,0
28,enthusiastic,1,16035.876,0
39,enthusiastic,1,15062.078,0
38,enthusiastic,1,12540.87,1
25,enthusiastic,0,15125.4,0
18,enthusiastic,0,14950.827,1
29,enthusiastic,0,13893.321,0
37,enthusiastic,0,13737.229,0
42,enthusiastic,1,9002.2949,1
31,enthusiastic,1,16139.698,0
36,enthusiastic,1,13349.308,0
36,enthusiastic,0,12309.336,0
45,enthusiastic,1,15738.211,0
31,enthusiastic,0,14057.022,0
37,enthusiastic,1,14669.32,0
53,enthusiastic,1,10618.171,1
40,enthusiastic,1,13688.66,0
19,enthusiastic,0,14093.78,1
33,enthusiastic,0,11764.764,1
34,enthusiastic,1,11615.721,1
21,enthusiastic,1,12989.996,1
33,enthusiastic,0,13847.304,1
40,enthusiastic,1,10159.319,1
27,enthusiastic,1,13371.768,1
42,enthusiastic,0,13103.781,1
49,enthusiastic,0,8815.5625,1
39,enthusiastic,0,11701.624,1
28,enthusiastic,0,15952.348,0
32,enthusiastic,1,10286.579,0
36,enthusiastic,0,12755.032,1
27,enthusiastic,1,14069.194,0
38,enthusiastic,1,15661.356,0
44,enthusiastic,0,9487.873,1
37,enthusiastic,1,15023.552,1
27,enthusiastic,1,13998.09,1
35,enthusiastic,1,13895.69,0
30,enthusiastic,1,14817.589,0
39,enthusiastic,0,12829.265,1
42,enthusiastic,1,14944.073,0
42,enthusiastic,1,12228.005,1
35,enthusiastic,1,11766.439,1
24,enthusiastic,0,13885.002,1
42,enthusiastic,1,12136.753,0
36,enthusiastic,0,14279.428,0
37,enthusiastic,1,13124.358,1
39,enthusiastic,0,14867.827,0
21,enthusiastic,0,12852.838,1
27,enthusiastic,0,14544.048,1
28,enthusiastic,0,11919.182,1
33,enthusiastic,0,15547.455,0
39,enthusiastic,1,14170.172,0
27,enthusiastic,0,16609.922,0
35,enthusiastic,1,13683.069,0
42,enthusiastic,1,12330.876,1
26,enthusiastic,1,12314.613,1
33,enthusiastic,1,14812.172,1
48,enthusiastic,1,12115.785,1
31,enthusiastic,0,15075.664,0
33,enthusiastic,1,12478.894,1
32,enthusiastic,0,13978.421,0
34,enthusiastic,1,14206.615,0
31,enthusiastic,0,12734.196,1
43,enthusiastic,0,9442.2197,1
33,enthusiastic,0,13998.394,1
32,enthusiastic,0,14043.871,0
33,enthusiastic,0,18247.785,0
40,enthusiastic,0,12265.449,1
27,enthusiastic,0,15918.627,0
28,enthusiastic,1,13116.701,1
29,enthusiastic,0,14286.423,0
35,enthusiastic,1,12130.21,0
30,enthusiastic,1,12540.269,1
35,enthusiastic,1,13921.563,1
34,enthusiastic,1,13416.174,0
32,enthusiastic,0,15624.787,0
31,enthusiastic,1,12424.576,0
28,enthusiastic,0,11603.41,1
31,enthusiastic,1,14805.886,0
35,enthusiastic,0,14491.223,1
41,enthusiastic,0,14241.729,0
39,enthusiastic,1,13669.423,0
49,enthusiastic,0,13281.632,0
25,enthusiastic,0,12153.365,1
41,enthusiastic,1,12985.056,0
33,enthusiastic,0,11944.91,0
39,enthusiastic,0,13356.073,0
30,enthusiastic,0,13972.626,0
31,enthusiastic,0,14857.581,0
36,enthusiastic,1,17395.525,0
31,enthusiastic,1,15452.295,0
31,enthusiastic,0,13724.357,0
20,enthusiastic,0,13219.729,1
38,enthusiastic,1,13900.989,0
34,enthusiastic,0,13784.622,0
33,enthusiastic,1,14282.251,1
40,enthusiastic,1,12996.689,1
30,enthusiastic,0,16344.05,0
35,enthusiastic,0,13391.169,0
23,enthusiastic,0,15140.09,0
28,enthusiastic,1,15455.232,0
24,enthusiastic,0,15911.658,0
36,enthusiastic,0,15681.69,0
30,enthusiastic,0,14620.059,0
32,enthusiastic,1,12138.143,0
31,enthusiastic,0,12947.194,1
29,enthusiastic,0,15410.623,0
44,enthusiastic,1,9968.9541,1
41,enthusiastic,1,11967.423,1
41,enthusiastic,0,12730.863,0
37,enthusiastic,0,15607.098,0
35,enthusiastic,1,12016.445,1
33,enthusiastic,1,15980.6,0
35,enthusiastic,0,14509.009,1
30,enthusiastic,1,13292.854,0
33,enthusiastic,1,13350.234,0
31,enthusiastic,0,10265.831,1
27,enthusiastic,0,13634.219,1
43,enthusiastic,1,12259.962,0
43,enthusiastic,1,10930.291,0
39,enthusiastic,0,14931.236,0
45,enthusiastic,0,12256.011,1
38,enthusiastic,0,14139.938,0
30,enthusiastic,0,15365.587,0
34,enthusiastic,0,17612.074,0
28,enthusiastic,1,12091.356,1
41,enthusiastic,0,14706.983,0
42,enthusiastic,1,15846.79,0
36,enthusiastic,0,15746.869,0
44,enthusiastic,1,10298.926,1
30,enthusiastic,0,14298.393,0
37,enthusiastic,1,12215.981,1
35,enthusiastic,1,10111.966,1
37,enthusiastic,1,13298.012,1
38,enthusiastic,0,14749.163,0
32,enthusiastic,0,15468.048,0
32,enthusiastic,1,12091.111,0
37,enthusiastic,1,11893.378,0
32,enthusiastic,0,17858.246,0
36,enthusiastic,1,13011.456,0
31,enthusiastic,1,16151.23,0
44,enthusiastic,0,14143.085,0
43,enthusiastic,1,13218.949,0
43,enthusiastic,1,12741.627,0
38,enthusiastic,1,12589.123,1
40,enthusiastic,1,9299.5596,1
25,enthusiastic,0,13960.402,0
39,enthusiastic,1,14572.227,0
35,enthusiastic,1,13928.766,0
20,enthusiastic,1,14212.532,1
29,enthusiastic,1,10911.364,1
32,enthusiastic,1,15087.924,0
35,enthusiastic,1,9625.1328,1
31,enthusiastic,1,15424.126,0
25,enthusiastic,0,12282.903,1
45,enthusiastic,0,11367.811,1
30,enthusiastic,1,14528.509,0
35,enthusiastic,0,13558.524,1
29,enthusiastic,1,13590.249,1
29,enthusiastic,0,17113.061,0
30,enthusiastic,0,14245.805,0
27,enthusiastic,1,16593.969,0
27,enthusiastic,0,13773.164,0
43,enthusiastic,1,12109.557,0
38,enthusiastic,1,11381.065,1
29,enthusiastic,0,15608.006,0
29,enthusiastic,1,13940.42,1
30,enthusiastic,1,15272.002,0
46,enthusiastic,1,11342.432,1
34,enthusiastic,0,18446.078,0
32,enthusiastic,1,14257.089,0
39,enthusiastic,1,10004.339,1
41,enthusiastic,1,10863.707,1
33,enthusiastic,1,13803.788,0
35,enthusiastic,0,10332.305,1
18,enthusiastic,0,17131.256,0
31,enthusiastic,1,13690.107,0
39,enthusiastic,0,13685.892,0
46,enthusiastic,0,10802.893,0
44,enthusiastic,1,15696.666,0
32,enthusiastic,1,10938.251,0
30,enthusiastic,0,15851.588,1
39,enthusiastic,0,15701.797,1
30,enthusiastic,0,12141.277,1
27,enthusiastic,1,13554.945,1
28,enthusiastic,1,14989.356,0
41,enthusiastic,1,11436.798,0
29,enthusiastic,1,13120.188,1
29,enthusiastic,1,12477.994,1
42,enthusiastic,1,12747.6,0
50,enthusiastic,0,9023.2559,1
39,enthusiastic,1,13205.936,0
33,enthusiastic,0,15699.861,0
37,enthusiastic,1,15624.684,0
43,enthusiastic,0,12676.094,1
32,enthusiastic,1,14880.393,0
29,enthusiastic,1,12637.295,1
22,enthusiastic,0,14667.389,1
29,enthusiastic,1,14725.865,0
34,enthusiastic,1,13547.507,1
29,enthusiastic,0,17468.705,1
38,enthusiastic,1,12080.5,0
34,enthusiastic,1,15426.371,0
30,enthusiastic,1,14070.844,0
37,enthusiastic,0,12525.962,1
29,enthusiastic,0,16375.741,0
29,enthusiastic,0,16812.955,0
32,enthusiastic,1,13801.51,1
36,enthusiastic,1,9527.2461,1
26,enthusiastic,0,13848.842,0
38,enthusiastic,0,14326.985,0
31,enthusiastic,1,13748.772,1
47,enthusiastic,1,9849.2715,1
29,enthusiastic,1,16672.023,0
37,enthusiastic,1,13291.738,0
31,enthusiastic,0,11850.844,1
37,enthusiastic,0,10686.674,1
45,enthusiastic,1,12955.147,0
37,enthusiastic,1,15671.865,0
41,enthusiastic,1,11422.383,1
33,enthusiastic,1,14041.22,1
32,enthusiastic,0,11710.828,1
35,enthusiastic,1,14288.234,0
28,enthusiastic,0,15693.815,1
29,enthusiastic,0,16559.521,0
29,enthusiastic,0,13829.438,1
39,enthusiastic,0,11875.212,0
28,enthusiastic,0,15249.418,0
35,enthusiastic,1,10991.681,0
36,enthusiastic,0,12033.511,1
33,enthusiastic,0,14085.193,1
40,enthusiastic,0,11597.905,1
25,enthusiastic,0,16745.338,0
43,enthusiastic,1,12512.8,0
37,enthusiastic,1,12795.194,0
50,enthusiastic,0,9891.3076,1
44,enthusiastic,1,15717.633,0
26,enthusiastic,0,18701.754,0
37,enthusiastic,0,12119.558,1
36,enthusiastic,1,11862.482,1
41,enthusiastic,1,11307.599,1
36,enthusiastic,0,13880.407,0
32,enthusiastic,0,16512.203,0
40,enthusiastic,0,11754.329,0
45,enthusiastic,0,9751.5928,1
47,enthusiastic,1,12631.354,0
20,enthusiastic,1,18234.59,0
33,enthusiastic,1,13214.493,1
48,enthusiastic,1,13103.244,1
25,enthusiastic,0,14042.868,0
35,enthusiastic,1,14206.419,0
32,enthusiastic,0,10949.23,1
42,enthusiastic,1,13898.653,0
28,enthusiastic,0,12202.797,1
42,enthusiastic,0,14800.301,0
33,enthusiastic,0,12302.271,0
31,enthusiastic,1,13676.005,0
35,enthusiastic,0,14213.427,1
29,enthusiastic,1,15402.483,0
27,enthusiastic,0,14750.244,1
34,enthusiastic,1,14620.366,0
32,enthusiastic,0,14436.773,1
34,enthusiastic,1,11912.733,1
31,enthusiastic,1,12826.922,0
32,enthusiastic,0,15104.545,0
37,enthusiastic,0,15055.648,1
28,enthusiastic,0,17498.748,0
40,enthusiastic,1,14315.903,0
33,enthusiastic,0,14414.618,1
28,enthusiastic,0,14988.938,0
19,enthusiastic,1,17174.807,0
30,enthusiastic,1,11048.414,1
33,enthusiastic,1,13027.61,1
36,enthusiastic,0,11405.132,1
29,enthusiastic,1,14206.011,0
40,enthusiastic,1,13476.955,1
39,enthusiastic,0,14266.412,0
45,enthusiastic,1,12223.635,0
38,enthusiastic,1,12407.348,1
26,enthusiastic,0,13353.479,0
32,enthusiastic,0,11635.548,1
43,enthusiastic,0,14959.89,0
20,enthusiastic,0,12681.074,1
39,enthusiastic,1,15476.98,0
28,enthusiastic,0,13254.251,1
33,enthusiastic,1,12443.063,1
37,enthusiastic,0,12465.36,1
42,enthusiastic,1,13834.589,0
34,enthusiastic,0,13354.123,0
33,enthusiastic,1,14137.45,0
27,enthusiastic,0,15104.052,0
33,enthusiastic,0,12343.963,1
29,enthusiastic,1,13750.188,0
21,enthusiastic,0,13322.5,0
38,enthusiastic,1,11750.238,1
30,enthusiastic,0,16164.018,0
33,enthusiastic,0,14256.454,1
36,enthusiastic,0,14509.624,1
32,enthusiastic,1,10663.148,1
42,enthusiastic,0,12154.453,0
28,enthusiastic,1,15398.808,0
32,enthusiastic,1,13798.499,0
40,enthusiastic,0,11310.95,1
27,enthusiastic,0,15987.259,0
32,enthusiastic,0,13342.496,1
40,enthusiastic,0,11710.101,0
36,enthusiastic,1,13975.215,0
38,enthusiastic,1,12544.108,1
27,enthusiastic,1,15563.253,0
33,enthusiastic,1,12863.194,0
29,enthusiastic,0,17368.395,0
33,enthusiastic,0,14181.027,0
37,enthusiastic,0,13967.588,1
37,enthusiastic,1,12546.477,1
27,enthusiastic,1,11821.041,1
23,enthusiastic,0,14987.738,0
45,enthusiastic,1,11329.143,0
40,enthusiastic,0,12761.492,1
29,enthusiastic,0,14647.555,1
35,enthusiastic,1,9598.373,1
28,enthusiastic,1,15722.111,1
34,enthusiastic,0,16043.931,0
30,enthusiastic,1,14485.93,1
34,enthusiastic,0,12223.67,1
43,enthusiastic,1,9554.7852,1
36,enthusiastic,0,11751.856,0
34,enthusiastic,0,12266.08,1
44,enthusiastic,1,9824.458,1
28,enthusiastic,1,14528.612,1
39,enthusiastic,1,13785.184,0
29,enthusiastic,0,13235.774,0
29,enthusiastic,1,14307.964,0
42,enthusiastic,0,13641.458,1
36,enthusiastic,0,13302.041,1
29,enthusiastic,0,16542.525,0
28,enthusiastic,1,15919.301,0
24,enthusiastic,1,15473.743,0
42,enthusiastic,0,13638.749,0
41,enthusiastic,1,14677.988,0
44,enthusiastic,0,10124.771,1
53,enthusiastic,0,8783.8457,1
37,enthusiastic,1,13846.712,0
41,enthusiastic,0,12350.731,1
19,enthusiastic,0,12405.695,1
31,enthusiastic,0,14088.904,1
28,enthusiastic,0,15285.074,0
41,enthusiastic,0,13800.661,0
33,enthusiastic,1,14466.777,1
25,enthusiastic,1,12668.944,1
31,enthusiastic,0,11960.483,1
37,enthusiastic,0,14171.49,0
35,enthusiastic,0,15167.379,0
42,enthusiastic,1,10098.327,0
40,enthusiastic,0,15337.917,0
20,enthusiastic,0,16296.572,0
30,enthusiastic,1,15333.251,0
26,enthusiastic,1,14634.449,1
33,enthusiastic,0,10864.16,1
24,enthusiastic,1,15909.817,0
30,enthusiastic,1,12182.553,1
37,enthusiastic,0,14644.291,1
28,enthusiastic,0,18099.73,0
33,enthusiastic,0,14925.441,0
37,enthusiastic,1,12094.035,0
47,enthusiastic,1,11372.164,1
32,enthusiastic,0,12348.684,0
46,enthusiastic,1,10918.409,0
29,enthusiastic,0,14735.646,1
35,enthusiastic,1,15716.318,0
29,enthusiastic,0,16025.967,1
23,enthusiastic,1,14895.579,0
34,enthusiastic,1,13223.061,0
34,enthusiastic,1,14550.868,0
34,enthusiastic,1,10605.476,1
36,enthusiastic,0,13732.254,0
20,enthusiastic,1,15740.03,0
49,enthusiastic,1,11281.78,0
43,enthusiastic,1,11460.372,0
28,enthusiastic,0,12705.256,1
39,enthusiastic,0,12439.505,0
39,enthusiastic,0,15595.672,1
30,enthusiastic,1,15111.829,0
40,enthusiastic,1,9892.2383,1
20,enthusiastic,1,17496.225,0
31,enthusiastic,1,15636.076,0
33,enthusiastic,0,14537.261,0
38,enthusiastic,1,12737.933,1
30,enthusiastic,0,16528.309,0
36,enthusiastic,1,15774.746,0
40,enthusiastic,0,13572.209,0
35,enthusiastic,1,12479.543,0
34,enthusiastic,1,11807.352,1
32,enthusiastic,1,13291.24,1
20,enthusiastic,1,10826.668,1
42,enthusiastic,1,11693.503,1
28,enthusiastic,0,14367.763,0
30,enthusiastic,0,13886.513,1
22,enthusiastic,0,13720.089,1
34,enthusiastic,1,14210.729,1
26,enthusiastic,0,13820.809,0
22,enthusiastic,0,16368.835,0
25,enthusiastic,0,16698.535,0
45,enthusiastic,0,12798.904,0
43,enthusiastic,0,12863.269,0
25,enthusiastic,1,12728.113,0
25,enthusiastic,1,12985.034,1
34,enthusiastic,1,13067.913,0
46,enthusiastic,1,11754.87,0
44,enthusiastic,0,11977.926,0
39,enthusiastic,1,11457.539,0
31,enthusiastic,1,13932.083,1
37,enthusiastic,0,11624.555,1
31,enthusiastic,1,16747.67,0
31,enthusiastic,1,11802.816,1
42,enthusiastic,0,12156.55,1
32,enthusiastic,0,14141.364,0
28,enthusiastic,1,11832.812,1
29,enthusiastic,0,13321.975,1
42,enthusiastic,0,10726.863,0
42,enthusiastic,1,11004.965,0
38,enthusiastic,0,17468.932,0
31,enthusiastic,0,16422.291,0
38,enthusiastic,0,12014.444,1
22,enthusiastic,0,16723.295,0
34,enthusiastic,0,14248.967,1
45,enthusiastic,0,13941.118,1
38,enthusiastic,1,15260.164,1
38,enthusiastic,1,13989.336,0
31,enthusiastic,0,15703.576,0
30,enthusiastic,0,13508.785,0
27,enthusiastic,0,13217.625,0
32,enthusiastic,0,16413.453,0
41,enthusiastic,1,12490.359,0
29,enthusiastic,0,14971.019,0
38,enthusiastic,1,10616.616,1
37,enthusiastic,0,15199.495,0
44,enthusiastic,0,12285.18,0
27,enthusiastic,1,13361.204,0
30,enthusiastic,0,16335.858,0
31,enthusiastic,0,12499.828,1
30,enthusiastic,1,13479.546,0
33,enthusiastic,1,13984.853,0
35,enthusiastic,1,13593.645,1
46,enthusiastic,0,10735.309,1
25,enthusiastic,0,14649.828,1
35,enthusiastic,0,13173.926,1
41,enthusiastic,0,11536.26,1
43,enthusiastic,1,13509.365,0
24,enthusiastic,0,16017.249,1
34,enthusiastic,1,13442.734,0
39,enthusiastic,0,14886.728,1
35,enthusiastic,1,14753.647,0
24,enthusiastic,0,16803.092,0
31,enthusiastic,1,12801.104,1
39,enthusiastic,1,9686.583,1
33,enthusiastic,1,12240.412,1
38,enthusiastic,0,13205.928,1
38,enthusiastic,0,10766.627,0
29,enthusiastic,1,13946.172,1
38,enthusiastic,0,12735.401,0
45,enthusiastic,1,10285.428,1
41,enthusiastic,1,11974.383,1
28,enthusiastic,0,15278.55,0
32,enthusiastic,1,13328.384,0
29,enthusiastic,0,14746.424,0
34,enthusiastic,1,11252.801,1
24,enthusiastic,1,14230.664,1
39,enthusiastic,1,12116.414,1
34,enthusiastic,0,13421.117,1
43,enthusiastic,0,11650.632,1
35,enthusiastic,0,8764.9404,1
33,enthusiastic,0,14622.248,0
36,enthusiastic,1,11434.078,1
30,enthusiastic,0,13529.564,0
28,enthusiastic,1,12023.946,1
25,enthusiastic,0,13906.073,1
36,enthusiastic,0,14180.64,0
24,enthusiastic,0,15301.338,0
35,enthusiastic,1,12512.415,1
38,enthusiastic,1,14507.074,0
32,enthusiastic,1,12782.693,0
20,enthusiastic,1,12225.477,1
28,enthusiastic,0,16007.804,1
38,enthusiastic,0,15472.514,0
37,enthusiastic,0,13253.975,1
40,enthusiastic,1,13282.646,0
34,enthusiastic,1,12906.145,0
30,enthusiastic,1,15980.766,0
22,enthusiastic,1,14226.268,1
43,enthusiastic,0,11989.383,1
48,enthusiastic,0,10393.553,1
35,enthusiastic,0,11794.767,0
31,enthusiastic,1,12210.838,1
35,enthusiastic,0,13322.613,1
39,enthusiastic,0,13370.395,0
30,enthusiastic,1,14563.878,0
44,enthusiastic,0,11939.618,0
41,enthusiastic,1,11717.148,1
27,enthusiastic,1,14007.837,0
25,enthusiastic,0,14671.863,0
40,enthusiastic,1,12975.975,0
43,enthusiastic,1,10334.331,1
35,enthusiastic,1,13853.229,1
50,enthusiastic,1,11940.554,0
40,enthusiastic,0,12460.638,1
25,enthusiastic,0,16444.777,0
37,enthusiastic,0,13526.155,0
38,enthusiastic,1,12804.48,0
38,enthusiastic,0,10759.995,1
35,enthusiastic,1,10331.532,1
35,enthusiastic,1,15082.011,0
28,enthusiastic,1,15273.882,0
31,enthusiastic,1,16663.793,0
30,enthusiastic,0,12932.877,1
38,enthusiastic,0,14126.217,0
44,enthusiastic,1,11432.38,1
41,enthusiastic,1,13230.985,0
35,enthusiastic,0,12833.943,1
36,enthusiastic,1,13125.255,0
34,enthusiastic,0,12866.295,1
34,enthusiastic,1,10317.628,1
33,enthusiastic,0,15254.787,0
40,enthusiastic,1,12586.83,0
25,enthusiastic,1,12459.936,1
34,enthusiastic,1,14331.594,1
31,enthusiastic,0,13392.621,0
41,enthusiastic,1,12860.547,0
31,enthusiastic,0,15674.535,0
36,enthusiastic,1,13608.998,1
25,enthusiastic,1,14323.138,0
29,enthusiastic,1,13533.204,1
39,enthusiastic,1,9287.9004,1
38,enthusiastic,0,14469.549,0
37,enthusiastic,0,12090.431,1
21,enthusiastic,0,15440.174,1
46,enthusiastic,0,11569.774,1
34,enthusiastic,1,12854.459,1
38,enthusiastic,1,11331.069,1
32,enthusiastic,0,14193.561,1
38,enthusiastic,1,12232.157,1
29,enthusiastic,1,13043.608,0
32,enthusiastic,0,14774.122,0
32,enthusiastic,1,12184.119,0
52,enthusiastic,1,12597.217,0
23,enthusiastic,0,13308.077,0
47,enthusiastic,1,12684.752,0
29,enthusiastic,1,13801.549,0
38,enthusiastic,0,13917.776,0
48,enthusiastic,1,9330.8945,1
26,enthusiastic,1,14396.237,0
41,enthusiastic,0,12711.691,1
30,enthusiastic,0,15186.615,0
38,enthusiastic,1,12831.807,0
39,enthusiastic,1,13198.103,0
31,enthusiastic,1,15829.48,0
24,enthusiastic,0,10527.953,1
28,enthusiastic,1,11079.228,1
20,enthusiastic,1,14215.637,0
39,enthusiastic,1,14461.438,0
41,enthusiastic,1,13955.008,0
45,enthusiastic,1,11273.648,1
39,enthusiastic,1,11684.677,1
38,enthusiastic,1,14903.787,0
33,enthusiastic,0,15374.636,0
26,enthusiastic,1,11297.117,1
39,enthusiastic,1,12805.501,1
35,enthusiastic,1,15085.178,0
29,enthusiastic,1,13097.974,0
34,enthusiastic,0,12197.467,1
34,enthusiastic,0,12785.723,1
44,enthusiastic,1,12773.205,0
26,enthusiastic,0,14810.407,0
24,enthusiastic,0,12914.091,0
31,enthusiastic,1,12825.733,1
42,enthusiastic,1,13269.918,0
33,enthusiastic,1,11820.673,1
26,enthusiastic,0,12792.153,1
38,enthusiastic,1,9900.1396,1
38,enthusiastic,0,13383.589,0
29,enthusiastic,1,13559.097,0
36,enthusiastic,1,13032.664,0
37,enthusiastic,1,14841.037,0
36,enthusiastic,1,12175.635,1
31,enthusiastic,1,12418.021,1
40,enthusiastic,0,13601.392,1
24,enthusiastic,0,16375.3,0
27,enthusiastic,0,13158.16,1
39,enthusiastic,1,13763.123,0
28,enthusiastic,0,15814.926,0
38,enthusiastic,1,11981.414,1
32,enthusiastic,1,13244.631,0
42,enthusiastic,1,13029.515,0
30,enthusiastic,0,13973.908,0
38,enthusiastic,0,13273.988,0
37,enthusiastic,0,15608.67,0
33,enthusiastic,0,15657.282,0
20,enthusiastic,0,15772.881,1
41,enthusiastic,0,17096.506,0
39,enthusiastic,0,13011.338,0
32,enthusiastic,0,13786.932,0
22,enthusiastic,0,14850.084,1
36,enthusiastic,0,11966.628,1
38,enthusiastic,0,15827.372,0
40,enthusiastic,0,10717.984,1
42,enthusiastic,1,12476.596,0
30,enthusiastic,1,14841.642,1
22,enthusiastic,0,13986.02,1
29,enthusiastic,1,15357.644,0
33,enthusiastic,0,12277.829,0
42,enthusiastic,0,13793.914,0
43,enthusiastic,0,14842.381,0
32,enthusiastic,1,13420.486,0
43,enthusiastic,1,13648.143,0
28,enthusiastic,1,13579.092,0
36,enthusiastic,1,16179.699,0
39,enthusiastic,1,13167.57,0
29,enthusiastic,0,15986.383,0
36,enthusiastic,0,13569.62,1
23,enthusiastic,0,13973.716,0
35,enthusiastic,0,16342.595,1
42,enthusiastic,0,13633.949,0
36,enthusiastic,1,14365.936,1
34,enthusiastic,1,13821.59,0
43,enthusiastic,0,13703.069,1
30,enthusiastic,1,12131.154,1
39,enthusiastic,1,13427.107,1
48,enthusiastic,1,9341.6611,1
32,enthusiastic,1,13315.47,0
40,enthusiastic,1,10368.492,0
35,enthusiastic,0,14311.446,0
32,enthusiastic,0,14777.46,1
30,enthusiastic,0,14178.358,0
24,enthusiastic,1,15449.658,1
36,enthusiastic,1,12037.982,0
43,enthusiastic,1,12607.588,0
32,enthusiastic,0,17918.082,0
30,enthusiastic,0,12511.338,1
38,enthusiastic,0,12216.7,0
31,enthusiastic,0,12909.743,1
33,enthusiastic,0,12446.368,1
46,enthusiastic,0,13092.336,1
46,enthusiastic,1,11947.865,0
40,enthusiastic,0,15563.77,0
32,enthusiastic,1,13865.721,0
36,enthusiastic,0,16378.599,0
29,enthusiastic,1,14541.321,1
36,enthusiastic,1,14327.727,1
28,enthusiastic,0,17666.938,0
31,enthusiastic,0,13240.39,1
35,enthusiastic,1,17567.666,0
34,enthusiastic,1,13614.921,1
38,enthusiastic,1,14053.068,0
30,enthusiastic,0,13973.896,0
